,taxon_id,taxon,species_y
0,6336,alligator mississippiensis,mississippiensis
1,131354,anodorhynchus leari,leari
2,110247,caloenas nicobarica,nicobarica
3,6417,crocodylus moreletii,moreletii
4,6343,crocodylus niloticus,niloticus
5,75841,crocodylus siamensis,siamensis
6,100396,elephas maximus,maximus
7,133211,eulemur macaco,macaco
8,122532,gorilla gorilla,gorilla
9,133080,grus americana,americana
10,120670,leucopsar rothschildi,rothschildi
11,98006,lontra longicaudis,longicaudis
12,122729,lophura swinhoii,swinhoii
13,96588,macaca silenus,silenus
14,76474,melanosuchus niger,niger
15,78946,osteolaemus tetraspis,tetraspis
16,118276,panthera onca,onca
17,129825,panthera pardus,pardus
18,101708,panthera uncia,uncia
19,118301,pongo pygmaeus,pygmaeus
20,109993,syrmaticus humiae,humiae
21,100285,tapirus indicus,indicus
22,74920,tomistoma schlegelii,schlegelii
23,134429,varanus bengalensis,bengalensis
24,134430,varanus flavescens,flavescens
25,115415,varecia variegata,variegata
26,113501,ailurus fulgens,fulgens
27,116090,branta ruficollis,ruficollis
28,135196,buceros bicornis,bicornis
29,6337,caiman crocodilus,crocodilus
30,92973,chelonia mydas,mydas
31,41528,ciconia nigra,nigra
32,6344,crocodylus novaeguineae,novaeguineae
33,128232,dendrocygna arborea,arborea
34,98079,dendrolagus inustus,inustus
35,127578,diceros bicornis,bicornis
36,110126,eunymphicus cornutus,cornutus
37,35428,falco biarmicus,biarmicus
38,110248,gallicolumba luzonica,luzonica
39,134438,heloderma horridum,horridum
40,127381,indotestudo elongata,elongata
41,38913,leopardus pardalis,pardalis
42,101700,leopardus wiedii,wiedii
43,63035,leptailurus serval,serval
44,69175,malacochersus tornieri,tornieri
45,120525,pan troglodytes,troglodytes
46,101703,panthera tigris,tigris
47,135198,phoenicoparrus andinus,andinus
48,135199,phoenicoparrus jamesi,jamesi
49,35405,polihierax semitorquatus,semitorquatus
50,38477,polyplectron bicalcaratum,bicalcaratum
51,34534,probosciger aterrimus,aterrimus
52,110118,prosopeia personata,personata
53,134440,python bivittatus,bivittatus
54,134441,python curtus,curtus
55,134442,python regius,regius
56,810,stigmochelys pardalis,pardalis
57,121162,tanygnathus lucionensis,lucionensis
58,100287,tapirus terrestris,terrestris
59,131789,testudo hermanni,hermanni
60,134446,varanus exanthematicus,exanthematicus
61,134449,varanus salvator,salvator
62,136349,monodon monoceros,monoceros
63,100361,odobenus rosmarus,rosmarus
64,96127,ursus maritimus,maritimus
65,101697,acinonyx jubatus,jubatus
66,136894,acipenser oxyrinchus,oxyrinchus
67,76023,alligator sinensis,sinensis
68,116187,amazona vinacea,vinacea
69,113651,asarcornis scutulata,scutulata
70,95626,astrochelys radiata,radiata
71,134197,ateles geoffroyi,geoffroyi
72,114100,branta sandvicensis,sandvicensis
73,6338,caiman latirostris,latirostris
74,111423,catopuma temminckii,temminckii
75,100395,ceratotherium simum,simum
76,109924,cercopithecus diana,diana
77,115460,cheirogaleus medius,medius
