year,taxon_id,taxon_name,appendix,total_traded
2009,136686,"saiga tatarica",II,12.975
2010,136551,"moschus spp.",II,2.885
2011,136686,"saiga tatarica",II,35.609
2011,111654,"mauremys reevesii",III,265.75
2012,129985,"ursus thibetanus",I,0.005
2012,136364,"cetacea spp.",II,192
2012,111654,"mauremys reevesii",III,727.545
2013,134462,"testudinidae spp.",I,20
2013,136686,"saiga tatarica",II,351.973
2013,111654,"mauremys reevesii",III,1184.944
2014,101703,"panthera tigris",I,5.873
2014,136686,"saiga tatarica",II,320.082
2014,111654,"mauremys reevesii",III,7480.137
2015,129985,"ursus thibetanus",I,0.555
2015,134462,"testudinidae spp.",II,3085.05
2015,111654,"mauremys reevesii",III,2982.386
2016,129985,"ursus thibetanus",I,0.006
2016,136686,"saiga tatarica",II,885.136
2016,111654,"mauremys reevesii",III,4203.8
2017,129825,"panthera pardus",I,0.382
2017,136686,"saiga tatarica",II,672.114
2017,111654,"mauremys reevesii",III,6471.558
2018,136379,"rhinocerotidae spp.",I,6
2018,134640,"naja naja",II,409.522
2018,111654,"mauremys reevesii",III,4272.12
2019,136686,"saiga tatarica",II,149.711
2019,111654,"mauremys reevesii",III,2311.819
2020,136551,"moschus spp.",II,41.615
2020,111654,"mauremys reevesii",III,2269.75
