year,taxon_id,taxon_name,appendix,tot_traded
2009,139699,"saussurea costus",I,127679.829
2009,144864,"aquilaria malaccensis",II,953.1193
2010,139699,"saussurea costus",I,1053.84
2010,147641,"hoodia gordonii",II,1361.32
2011,139699,"saussurea costus",I,102975.654
2011,141434,"dendrobium hybrid",II,302828.14
2011,147977,"harpagophytum procumbens",N,53000
2012,139699,"saussurea costus",I,59934.52
2012,142010,"gastrodia elata",II,91007.45
2012,147792,"harpagophytum spp.",N,24.9
2013,139699,"saussurea costus",I,676130.25
2013,142010,"gastrodia elata",II,62092.1131
2013,147977,"harpagophytum procumbens",N,50000
2014,139699,"saussurea costus",I,178174.2047
2014,142010,"gastrodia elata",II,93687.001
2015,139699,"saussurea costus",I,164167.158
2015,142010,"gastrodia elata",II,166231.3941
2016,139699,"saussurea costus",I,256460.8741
2016,141434,"dendrobium hybrid",II,1645703.365
2017,139699,"saussurea costus",I,160195.342
2017,141434,"dendrobium hybrid",II,500001.8
2018,139699,"saussurea costus",I,86748.5841
2018,142010,"gastrodia elata",II,65765.2
2019,139699,"saussurea costus",I,19984.3535
2019,137308,"panax quinquefolius",II,40966.79
2020,139699,"saussurea costus",I,135128.3228
2020,137308,"panax quinquefolius",II,192944.2
