year,taxon_id,taxon_name,appendix,tot_traded
2009,136436,"moschus moschiferus",II,358140
2010,136551,"moschus spp.",II,10
2010,134639,"daboia russelii",III,144951
2011,6336,"alligator mississippiensis",II,3887
2011,134639,"daboia russelii",III,191205
2012,101703,"panthera tigris",I,833
2012,6336,"alligator mississippiensis",II,23778
2012,134639,"daboia russelii",III,143590
2013,75841,"crocodylus siamensis",I,111935
2013,136551,"moschus spp.",II,76671
2013,50207,"cairina moschata",III,2934844
2014,75841,"crocodylus siamensis",I,405070
2014,136551,"moschus spp.",II,46606
2014,50207,"cairina moschata",III,8577995
2015,101703,"panthera tigris",I,2213
2015,136551,"moschus spp.",II,32138
2015,50207,"cairina moschata",III,10090928
2016,101703,"panthera tigris",I,1335
2016,136686,"saiga tatarica",II,27186
2016,50207,"cairina moschata",III,5021559
2017,101703,"panthera tigris",I,6150
2017,136436,"moschus moschiferus",II,36823
2017,134639,"daboia russelii",III,435985
2018,129985,"ursus thibetanus",I,8947
2018,45832,"ursus arctos",II,212239
2018,134639,"daboia russelii",III,324670
2019,45832,"ursus arctos",II,527011
2019,134639,"daboia russelii",III,549181
2020,45832,"ursus arctos",II,104620
2020,134639,"daboia russelii",III,385250
