year,I,II,III,total
2009,127679.829,1998.2581,0,129678.0871
2010,1053.84,1796.6178,0,2850.4578
2011,102975.654,557129.7046,0,724105.3586
2012,59934.52,101576.721,0,161536.141
2013,676130.25,77587.862,0,803718.112
2014,178175.0947,165886.6519,0,344061.7465
2015,164167.158,185854.7353,0,350021.8933
2016,256463.6741,1816793.7227,0,2073257.3968
2017,160195.342,647036.5624,0,807231.9044
2018,86748.5841,96062.4656,0,182811.0497
2019,19984.3535,61265.3588,0,81249.7123
2020,135128.3228,269344.592,0,404472.9148
