species_id,year,endangered_status
6336,2019,Least Concern
6336,1996,Lower Risk/least concern
131354,2019,Endangered
131354,2017,Endangered
131354,2016,Endangered
131354,2013,Endangered
131354,2012,Endangered
131354,2009,Endangered
131354,2008,Critically Endangered
131354,2004,Critically Endangered
131354,2000,Critically Endangered
131354,1996,Critically Endangered
131354,1994,Critically Endangered
131354,1988,Threatened
110247,2021,Near Threatened
110247,2016,Near Threatened
110247,2012,Near Threatened
110247,2008,Near Threatened
110247,2004,Near Threatened
110247,2000,Lower Risk/near threatened
110247,1994,Lower Risk/near threatened
110247,1988,Threatened
6417,2012,Least Concern
6417,2000,Lower Risk/conservation dependent
6417,1996,Data Deficient
6417,1990,Endangered
6417,1988,Endangered
6417,1986,Endangered
6417,1982,Endangered
6343,2019,Least Concern
75841,2012,Critically Endangered
75841,1996,Critically Endangered
75841,1994,Endangered
75841,1990,Endangered
75841,1988,Endangered
75841,1986,Endangered
75841,1982,Endangered
100396,2020,Endangered
100396,2008,Endangered
100396,1996,Endangered
100396,1994,Endangered
100396,1990,Endangered
100396,1988,Endangered
100396,1986,Endangered
100396,1965,"""Very rare but believed to be stable or increasing"""
133211,2020,Endangered
133211,2014,Vulnerable
133211,2011,Vulnerable
133211,2008,Vulnerable
133211,2000,Vulnerable
133211,1996,Vulnerable
133211,1994,Vulnerable
133211,1990,Vulnerable
133211,1988,Vulnerable
133211,1986,Vulnerable
133211,1965,"""Status inadequately known-survey required or data sought"""
122532,2018,Critically Endangered
122532,2016,Critically Endangered
122532,2008,Critically Endangered
122532,2007,Critically Endangered
122532,2000,Endangered
122532,1996,Endangered
122532,1994,Vulnerable
122532,1990,Vulnerable
122532,1988,Vulnerable
122532,1986,Vulnerable
133080,2020,Endangered
133080,2017,Endangered
133080,2016,Endangered
133080,2012,Endangered
133080,2008,Endangered
133080,2006,Endangered
133080,2004,Endangered
133080,2000,Endangered
133080,1996,Endangered
133080,1994,Endangered
133080,1988,Threatened
120670,2021,Critically Endangered
120670,2018,Critically Endangered
120670,2016,Critically Endangered
120670,2015,Critically Endangered
120670,2013,Critically Endangered
120670,2012,Critically Endangered
120670,2010,Critically Endangered
120670,2009,Critically Endangered
120670,2008,Critically Endangered
120670,2006,Critically Endangered
120670,2004,Critically Endangered
120670,2000,Critically Endangered
120670,1996,Critically Endangered
120670,1994,Critically Endangered
120670,1988,Threatened
98006,2021,Near Threatened
98006,2015,Near Threatened
98006,2008,Data Deficient
98006,2004,Data Deficient
98006,2000,Data Deficient
98006,1996,Lower Risk/least concern
98006,1994,Vulnerable
98006,1990,Vulnerable
98006,1988,Vulnerable
98006,1986,Vulnerable
98006,1982,Vulnerable
122729,2019,Near Threatened
122729,2016,Near Threatened
122729,2012,Near Threatened
122729,2008,Near Threatened
122729,2004,Near Threatened
122729,2000,Lower Risk/near threatened
122729,1994,Lower Risk/near threatened
122729,1988,Threatened
96588,2020,Endangered
96588,2008,Endangered
96588,2004,Endangered
96588,2000,Endangered
96588,1996,Endangered
96588,1994,Vulnerable
96588,1990,Endangered
96588,1988,Endangered
96588,1986,Endangered
76474,2000,Lower Risk/conservation dependent
76474,1996,Endangered
76474,1994,Vulnerable
76474,1990,Endangered
76474,1988,Endangered
76474,1986,Endangered
76474,1982,Endangered
78946,1996,Vulnerable
78946,1988,Indeterminate
78946,1986,Indeterminate
78946,1982,Indeterminate
118276,2017,Near Threatened
118276,2008,Near Threatened
118276,2002,Near Threatened
118276,1996,Lower Risk/near threatened
118276,1990,Vulnerable
118276,1988,Vulnerable
118276,1986,Vulnerable
118276,1982,Vulnerable
129825,2020,Vulnerable
129825,2019,Vulnerable
129825,2016,Vulnerable
129825,2008,Near Threatened
129825,2002,Least Concern
129825,1996,Lower Risk/least concern
129825,1990,Threatened
129825,1988,Threatened
129825,1986,Vulnerable
101708,2017,Vulnerable
101708,2008,Endangered
101708,2002,Endangered
101708,1996,Endangered
101708,1994,Endangered
101708,1990,Endangered
101708,1988,Endangered
101708,1986,Endangered
118301,2016,Critically Endangered
118301,2008,Endangered
118301,2007,Endangered
118301,2000,Endangered
118301,1996,Vulnerable
118301,1994,Endangered
118301,1990,Endangered
118301,1988,Endangered
118301,1986,Endangered
118301,1965,"""Very rare and believed to be decreasing in numbers"""
109993,2016,Near Threatened
109993,2012,Near Threatened
109993,2008,Near Threatened
109993,2005,Near Threatened
109993,2004,Vulnerable
109993,2000,Vulnerable
109993,1996,Vulnerable
109993,1994,Vulnerable
109993,1988,Threatened
100285,2016,Endangered
100285,2008,Endangered
100285,2003,Vulnerable
100285,2002,Endangered
100285,1996,Vulnerable
100285,1994,Endangered
100285,1990,Endangered
100285,1988,Endangered
100285,1986,Endangered
74920,2014,Vulnerable
74920,2000,Endangered
74920,1996,Data Deficient
74920,1994,Endangered
74920,1990,Endangered
74920,1988,Endangered
74920,1986,Endangered
74920,1982,Endangered
134429,2021,Near Threatened
134429,2010,Least Concern
134430,2021,Endangered
134430,1996,Lower Risk/least concern
134430,1994,Indeterminate
134430,1990,Indeterminate
115415,2020,Critically Endangered
115415,2014,Critically Endangered
115415,2008,Critically Endangered
115415,1996,Endangered
115415,1994,Endangered
115415,1990,Endangered
115415,1988,Indeterminate
115415,1986,Indeterminate
113501,2015,Endangered
113501,2008,Vulnerable
113501,1996,Endangered
113501,1994,Vulnerable
113501,1990,Insufficiently Known
113501,1988,Insufficiently Known
116090,2017,Vulnerable
116090,2016,Vulnerable
116090,2015,Vulnerable
116090,2012,Endangered
116090,2008,Endangered
116090,2007,Endangered
116090,2006,Vulnerable
116090,2004,Vulnerable
116090,2000,Vulnerable
116090,1996,Vulnerable
116090,1994,Vulnerable
116090,1988,Threatened
135196,2020,Vulnerable
135196,2018,Vulnerable
135196,2016,Near Threatened
135196,2015,Near Threatened
135196,2013,Near Threatened
135196,2012,Near Threatened
135196,2008,Near Threatened
135196,2004,Near Threatened
135196,2000,Lower Risk/near threatened
135196,1994,Lower Risk/least concern
135196,1988,Lower Risk/least concern
6337,2019,Least Concern
6337,1996,Lower Risk/least concern
6337,1988,Threatened
6337,1986,Threatened
92973,2004,Endangered
92973,1996,Endangered
92973,1994,Endangered
92973,1990,Endangered
92973,1988,Endangered
92973,1986,Endangered
92973,1982,Endangered
41528,2016,Least Concern
41528,2012,Least Concern
41528,2009,Least Concern
41528,2008,Least Concern
41528,2004,Least Concern
41528,2000,Lower Risk/least concern
41528,1994,Lower Risk/least concern
41528,1988,Lower Risk/least concern
6344,2019,Least Concern
6344,1996,Lower Risk/least concern
6344,1988,Vulnerable
6344,1986,Vulnerable
6344,1982,Vulnerable
128232,2019,Near Threatened
128232,2016,Vulnerable
128232,2013,Vulnerable
128232,2012,Vulnerable
128232,2008,Vulnerable
128232,2006,Vulnerable
128232,2004,Vulnerable
128232,2000,Vulnerable
128232,1996,Vulnerable
128232,1994,Vulnerable
128232,1988,Threatened
98079,2016,Vulnerable
98079,2008,Vulnerable
98079,1996,Data Deficient
98079,1994,Vulnerable
127578,2020,Critically Endangered
127578,2012,Critically Endangered
127578,2011,Critically Endangered
127578,2008,Critically Endangered
127578,2003,Critically Endangered
127578,2002,Critically Endangered
127578,1996,Critically Endangered
127578,1994,Endangered
127578,1990,Endangered
127578,1988,Endangered
127578,1986,Endangered
127578,1965,"""Less rare but believed to be threatened-requires watching"""
110126,2016,Vulnerable
110126,2013,Vulnerable
110126,2012,Vulnerable
110126,2009,Vulnerable
110126,2008,Endangered
110126,2004,Endangered
110126,2000,Endangered
110126,1996,Vulnerable
110126,1994,Not Recognized
110126,1988,Not Recognized
35428,2021,Least Concern
35428,2016,Least Concern
35428,2015,Least Concern
35428,2013,Least Concern
35428,2012,Least Concern
35428,2009,Least Concern
35428,2008,Least Concern
35428,2004,Least Concern
35428,2000,Lower Risk/least concern
35428,1994,Lower Risk/least concern
35428,1988,Lower Risk/least concern
110248,2016,Near Threatened
110248,2012,Near Threatened
110248,2008,Near Threatened
110248,2004,Near Threatened
110248,2000,Lower Risk/near threatened
110248,1994,Lower Risk/near threatened
110248,1988,Lower Risk/least concern
134438,2021,Least Concern
127381,2019,Critically Endangered
127381,2000,Endangered
127381,1996,Vulnerable
127381,1994,Insufficiently Known
127381,1990,Insufficiently Known
127381,1988,Insufficiently Known
38913,2015,Least Concern
38913,2008,Least Concern
38913,2002,Least Concern
38913,1996,Lower Risk/least concern
38913,1990,Vulnerable
38913,1988,Vulnerable
38913,1986,Vulnerable
38913,1982,Vulnerable
101700,2015,Near Threatened
101700,2008,Near Threatened
101700,2002,Least Concern
101700,1996,Lower Risk/least concern
101700,1994,Insufficiently Known
101700,1990,Vulnerable
101700,1988,Vulnerable
101700,1986,Vulnerable
101700,1982,Vulnerable
63035,2019,Least Concern
63035,2015,Least Concern
63035,2008,Least Concern
63035,2002,Least Concern
63035,1996,Lower Risk/least concern
69175,2019,Critically Endangered
69175,1996,Vulnerable
69175,1994,Insufficiently Known
69175,1990,Insufficiently Known
69175,1988,Insufficiently Known
69175,1986,Insufficiently Known
69175,1982,Insufficiently Known
120525,2016,Endangered
120525,2008,Endangered
120525,2007,Endangered
120525,2000,Endangered
120525,1996,Endangered
120525,1994,Vulnerable
120525,1990,Vulnerable
120525,1988,Vulnerable
120525,1986,Vulnerable
101703,2022,Endangered
101703,2015,Endangered
101703,2011,Endangered
101703,2010,Endangered
101703,2008,Endangered
101703,2002,Endangered
101703,1996,Endangered
101703,1994,Endangered
101703,1990,Endangered
101703,1988,Endangered
101703,1986,Endangered
135198,2020,Vulnerable
135198,2016,Vulnerable
135198,2014,Vulnerable
135198,2012,Vulnerable
135198,2008,Vulnerable
135198,2006,Vulnerable
135198,2004,Vulnerable
135198,2000,Vulnerable
135198,1996,Vulnerable
135198,1994,Vulnerable
135198,1988,Threatened
135199,2016,Near Threatened
135199,2014,Near Threatened
135199,2012,Near Threatened
135199,2008,Near Threatened
135199,2006,Near Threatened
